contato_id,cliente_id,data_contato,canal,tempo_resposta_horas
226,500,2025-09-27,Email,69
227,279,2025-08-21,Email,51
228,448,2025-08-30,Email,83
229,199,2025-09-24,Reunião,4
230,183,2025-12-11,Reunião,32
231,376,2025-07-13,Email,76
232,377,2025-10-04,Telefone,7
233,181,2025-08-11,Reunião,84
234,90,2025-07-06,WhatsApp,91
235,246,2025-07-20,Telefone,19
236,33,2025-09-02,Email,39
237,104,2025-12-17,Telefone,7
238,162,2025-10-10,WhatsApp,71
239,243,2025-10-25,Email,84
240,98,2025-10-16,Reunião,8
241,444,2025-07-14,Reunião,36
242,64,2025-09-25,WhatsApp,53
243,381,2025-09-07,WhatsApp,45
244,499,2025-11-11,WhatsApp,90
245,255,2025-09-25,Reunião,12
246,373,2025-09-11,Email,57
247,309,2025-11-12,Reunião,43
248,53,2025-12-08,Reunião,86
249,152,2025-10-11,WhatsApp,79
250,368,2025-09-10,Telefone,90
251,228,2025-09-30,WhatsApp,7
252,373,2025-09-29,WhatsApp,37
253,328,2025-12-14,Email,87
254,327,2025-09-16,Reunião,67
255,411,2025-07-08,Telefone,5
256,74,2025-07-26,WhatsApp,6
257,65,2025-12-11,Telefone,84
258,188,2025-09-27,WhatsApp,74
259,17,2025-07-27,Telefone,88
260,231,2025-09-25,Reunião,58
261,391,2025-12-09,Telefone,69
262,188,2025-09-18,Reunião,85
263,143,2025-10-26,Email,5
264,377,2025-11-11,WhatsApp,68
265,199,2025-08-07,Email,35
266,397,2025-10-23,WhatsApp,29
267,314,2025-10-16,WhatsApp,27
268,63,2025-11-24,Email,59
269,89,2025-09-06,Email,89
270,496,2025-10-08,Reunião,92
271,34,2025-08-10,Reunião,40
272,436,2025-11-18,Telefone,48
273,261,2025-11-01,Email,27
274,406,2025-11-23,Telefone,65
275,14,2025-09-27,Reunião,61
276,412,2025-08-09,Telefone,80
277,453,2025-12-06,Email,41
278,204,2025-08-28,WhatsApp,54
279,422,2025-08-03,Email,18
280,498,2025-10-08,Email,59
281,239,2025-07-07,Reunião,18
282,450,2025-08-09,Telefone,18
283,222,2025-08-22,Email,17
284,266,2025-11-19,Reunião,23
285,83,2025-10-07,Telefone,46
286,486,2025-08-18,Reunião,12
287,129,2025-11-08,Reunião,18
288,321,2025-10-12,Email,66
289,329,2025-11-15,Telefone,23
290,338,2025-07-22,Reunião,74
291,22,2025-12-21,Email,7
292,486,2025-07-17,Reunião,85
293,108,2025-08-04,WhatsApp,81
294,328,2025-12-21,WhatsApp,82
295,280,2025-10-15,Reunião,63
296,126,2025-07-06,WhatsApp,40
297,233,2025-12-10,Email,22
298,226,2025-09-13,WhatsApp,61
299,105,2025-10-02,Telefone,42
300,442,2025-10-08,Reunião,53
301,67,2025-09-25,Email,42
302,124,2025-08-31,Email,36
303,231,2025-10-26,Telefone,14
304,26,2025-10-15,WhatsApp,80
305,215,2025-10-26,Telefone,43
306,479,2025-08-03,Reunião,26
307,391,2025-11-18,WhatsApp,67
308,240,2025-08-23,Reunião,65
309,12,2025-12-05,WhatsApp,66
310,235,2025-10-28,Telefone,76
311,181,2025-12-16,Email,38
312,254,2025-07-29,WhatsApp,38
313,275,2025-12-26,Email,57
314,69,2025-10-22,Reunião,53
315,188,2025-12-17,WhatsApp,8
316,292,2025-08-07,Telefone,48
317,284,2025-10-16,Email,51
318,259,2025-09-04,Reunião,81
319,349,2025-07-25,Email,18
320,500,2025-12-04,WhatsApp,49
321,407,2025-10-03,Reunião,20
322,102,2025-07-27,WhatsApp,66
323,21,2025-12-17,Email,19
324,366,2025-10-04,WhatsApp,68
325,234,2025-11-20,Telefone,43
326,477,2025-07-25,Reunião,22
327,202,2025-07-24,Reunião,77
328,173,2025-08-21,WhatsApp,92
329,289,2025-10-13,WhatsApp,4
330,189,2025-10-05,Email,55
331,299,2025-10-11,Email,78
332,243,2025-10-22,Telefone,94
333,27,2025-08-01,WhatsApp,23
334,269,2025-07-20,WhatsApp,20
335,421,2025-07-07,Telefone,6
336,294,2025-07-02,Email,26
337,10,2025-09-07,Reunião,55
338,78,2025-09-14,Telefone,54
339,257,2025-07-25,WhatsApp,96
340,373,2025-12-13,Telefone,68
341,107,2025-08-07,Reunião,86
342,245,2025-08-16,WhatsApp,42
343,490,2025-11-14,WhatsApp,70
344,176,2025-08-11,Reunião,88
345,396,2025-07-07,Reunião,80
346,248,2025-11-09,Telefone,37
347,286,2025-10-13,Telefone,40
348,395,2025-10-16,Telefone,90
349,361,2025-08-25,Reunião,63
350,179,2025-08-07,Reunião,38
351,63,2025-08-04,WhatsApp,52
352,420,2025-10-01,Telefone,39
353,22,2025-10-16,Email,46
354,474,2025-09-06,Reunião,63
355,110,2025-11-07,Reunião,73
356,357,2025-10-20,Telefone,15
357,316,2025-07-31,Telefone,33
358,26,2025-07-10,Telefone,83
359,120,2025-12-15,Email,54
360,170,2025-08-30,Email,89
361,395,2025-11-23,Email,72
362,476,2025-11-18,WhatsApp,85
363,479,2025-08-29,WhatsApp,85
364,103,2025-10-16,Reunião,38
365,331,2025-12-13,Email,85
366,294,2025-10-30,Email,24
367,214,2025-11-13,Email,52
368,404,2025-08-24,Telefone,39
369,449,2025-12-19,Email,40
370,291,2025-07-27,Email,44
371,146,2025-09-03,WhatsApp,19
372,436,2025-08-21,WhatsApp,36
373,99,2025-11-30,Reunião,22
374,375,2025-09-02,Reunião,93
375,96,2025-12-25,Reunião,39
376,291,2025-07-09,Telefone,24
377,313,2025-07-18,WhatsApp,56
378,264,2025-10-06,Email,53
379,343,2025-12-04,Telefone,19
380,245,2025-10-07,Telefone,2
381,134,2025-09-21,Telefone,59
382,386,2025-10-21,Reunião,40
383,299,2025-08-04,Email,35
384,335,2025-09-27,Telefone,9
385,342,2025-11-28,WhatsApp,41
386,82,2025-09-16,Reunião,90
387,61,2025-07-18,Reunião,49
388,315,2025-11-02,Telefone,19
389,245,2025-11-19,WhatsApp,79
390,192,2025-09-13,WhatsApp,70
391,411,2025-07-11,Telefone,33
392,349,2025-07-29,Email,69
393,229,2025-08-15,Reunião,11
394,470,2025-08-06,Email,9
395,425,2025-08-10,Telefone,75
396,275,2025-11-20,Telefone,43
397,438,2025-08-17,WhatsApp,16
398,349,2025-11-06,WhatsApp,13
399,461,2025-08-20,WhatsApp,9
400,233,2025-11-25,WhatsApp,60
401,289,2025-12-14,WhatsApp,88
402,414,2025-10-11,Email,52
403,131,2025-12-28,Telefone,76
404,38,2025-12-17,WhatsApp,46
405,359,2025-12-12,Email,10
406,479,2025-08-30,Email,38
407,210,2025-11-12,Telefone,84
408,374,2025-07-16,WhatsApp,49
409,457,2025-09-22,WhatsApp,50
410,193,2025-12-08,Telefone,85
411,441,2025-09-30,Email,24
412,276,2025-09-19,Telefone,95
413,115,2025-12-28,Email,40
414,238,2025-07-09,WhatsApp,70
415,195,2025-10-31,Telefone,60
416,178,2025-11-19,Reunião,26
417,480,2025-11-30,Email,86
418,215,2025-07-24,Email,32
419,106,2025-12-11,Email,78
420,18,2025-09-05,Email,33
421,380,2025-12-17,WhatsApp,58
422,120,2025-08-12,Telefone,9
423,72,2025-08-22,Reunião,31
424,418,2025-08-03,Reunião,75
425,307,2025-07-09,Reunião,32
426,155,2025-11-22,Telefone,54
427,154,2025-10-19,Email,73
428,486,2025-07-30,Telefone,82
429,348,2025-09-10,WhatsApp,8
430,498,2025-10-01,WhatsApp,69
431,164,2025-07-03,WhatsApp,54
432,77,2025-10-13,WhatsApp,25
433,387,2025-08-13,WhatsApp,32
434,435,2025-11-01,Reunião,92
435,74,2025-09-01,Email,73
436,212,2025-09-13,Telefone,51
437,125,2025-10-24,Telefone,44
438,332,2025-12-08,WhatsApp,49
439,48,2025-08-13,Telefone,8
440,138,2025-09-23,Email,11
441,97,2025-07-31,Telefone,63
442,107,2025-10-04,Reunião,3
443,109,2025-11-10,Email,63
444,469,2025-10-27,Telefone,52
445,469,2025-10-28,Reunião,38
446,195,2025-08-31,Reunião,41
447,134,2025-09-27,WhatsApp,61
448,51,2025-08-30,Reunião,28
449,190,2025-10-09,WhatsApp,7
450,289,2025-11-02,Telefone,4
451,134,2025-08-09,WhatsApp,39
452,79,2025-11-08,Reunião,31
453,195,2025-08-05,Telefone,65
454,282,2025-07-14,Reunião,34
455,391,2025-08-25,WhatsApp,60
456,87,2025-09-29,Telefone,19
457,369,2025-08-11,WhatsApp,25
458,470,2025-08-12,Email,69
459,18,2025-12-09,Email,2
460,212,2025-11-23,Telefone,10
461,363,2025-11-20,Email,29
462,259,2025-09-03,Reunião,9
463,317,2025-07-18,WhatsApp,86
464,250,2025-12-24,Email,70
465,283,2025-09-14,Email,4
466,272,2025-10-19,Reunião,4
467,258,2025-07-03,WhatsApp,24
468,55,2025-12-04,Telefone,32
469,99,2025-07-23,Reunião,47
470,137,2025-09-18,Email,49
471,492,2025-09-16,WhatsApp,74
472,125,2025-07-03,Telefone,40
473,351,2025-12-08,Email,13
474,208,2025-09-22,WhatsApp,72
475,244,2025-12-14,Email,91
476,88,2025-12-07,WhatsApp,57
477,331,2025-10-05,Email,69
478,471,2025-12-18,Telefone,29
479,462,2025-07-04,WhatsApp,36
480,24,2025-12-09,Reunião,71
481,289,2025-07-13,Email,24
482,476,2025-10-09,Email,28
483,301,2025-11-22,WhatsApp,11
484,154,2025-11-17,Telefone,74
485,428,2025-09-20,Reunião,51
486,387,2025-11-23,Email,66
487,382,2025-10-01,Email,14
488,224,2025-10-30,Email,45
489,310,2025-07-24,WhatsApp,43
490,16,2025-07-19,Reunião,59
491,252,2025-10-31,Reunião,72
492,482,2025-09-23,WhatsApp,25
493,349,2025-08-01,WhatsApp,12
494,396,2025-07-23,Reunião,33
495,366,2025-12-10,Email,36
496,79,2025-09-22,Telefone,96
497,200,2025-10-08,Reunião,15
498,47,2025-12-27,Reunião,58
499,185,2025-10-20,Email,18
500,45,2025-11-11,WhatsApp,59
501,286,2025-08-08,WhatsApp,15
502,14,2025-12-06,Reunião,72
503,48,2025-07-29,Reunião,51
504,7,2025-10-15,WhatsApp,51
505,399,2025-12-07,Telefone,75
506,267,2025-11-15,WhatsApp,23
507,72,2025-10-21,Reunião,36
508,253,2025-11-21,Email,23
509,223,2025-10-19,WhatsApp,40
510,248,2025-12-09,Reunião,34
511,484,2025-10-26,WhatsApp,78
512,316,2025-11-08,WhatsApp,15
513,70,2025-10-12,Email,52
514,171,2025-07-23,WhatsApp,44
515,226,2025-10-04,WhatsApp,85
516,499,2025-07-29,Telefone,40
517,165,2025-07-27,Telefone,63
518,161,2025-11-13,WhatsApp,42
519,150,2025-07-04,WhatsApp,75
520,401,2025-10-27,Reunião,50
521,144,2025-09-19,Reunião,16
522,478,2025-08-06,Telefone,77
523,280,2025-11-12,Email,95
524,237,2025-11-05,WhatsApp,39
525,426,2025-07-04,Email,54
526,345,2025-08-23,Telefone,83
527,156,2025-10-28,Reunião,86
528,79,2025-09-11,WhatsApp,11
529,230,2025-07-28,WhatsApp,76
530,206,2025-08-14,WhatsApp,71
531,19,2025-09-27,Email,15
532,394,2025-10-26,Reunião,23
533,332,2025-07-25,Email,74
534,331,2025-07-08,WhatsApp,44
535,495,2025-09-09,Email,3
536,51,2025-10-23,Telefone,67
537,383,2025-08-18,Telefone,59
538,192,2025-09-19,WhatsApp,88
539,302,2025-07-05,Telefone,46
540,13,2025-08-27,Email,39
541,213,2025-12-07,Email,95
542,73,2025-09-30,Reunião,45
543,234,2025-11-06,WhatsApp,46
544,244,2025-12-04,WhatsApp,94
545,357,2025-09-04,Reunião,10
546,154,2025-12-17,Email,4
547,435,2025-10-02,Email,88
548,410,2025-11-16,Telefone,68
549,90,2025-08-09,Telefone,44
550,287,2025-09-10,WhatsApp,31
551,409,2025-09-16,Telefone,25
552,328,2025-07-13,WhatsApp,52
553,15,2025-07-24,Telefone,59
554,304,2025-09-10,WhatsApp,2
555,361,2025-11-04,Telefone,37
556,386,2025-12-12,Email,70
557,96,2025-09-26,Reunião,27
558,235,2025-11-29,Reunião,87
559,442,2025-08-25,Reunião,78
560,199,2025-07-25,WhatsApp,77
561,59,2025-09-30,Reunião,60
562,317,2025-11-14,Reunião,80
563,303,2025-12-07,Telefone,42
564,61,2025-10-28,Reunião,16
565,94,2025-09-24,Telefone,67
566,199,2025-09-12,Telefone,75
567,197,2025-09-11,Telefone,64
568,326,2025-08-13,Telefone,73
569,86,2025-08-25,Reunião,19
570,96,2025-10-09,WhatsApp,81
571,28,2025-09-28,Email,64
572,70,2025-11-09,WhatsApp,73
573,259,2025-07-14,WhatsApp,54
574,351,2025-08-25,WhatsApp,92
575,431,2025-09-06,WhatsApp,23
576,43,2025-08-06,Email,30
577,150,2025-12-20,Reunião,30
578,276,2025-10-16,Telefone,60
579,290,2025-08-24,Email,75
580,59,2025-10-21,Reunião,71
581,422,2025-12-18,WhatsApp,71
582,112,2025-09-11,Email,96
583,425,2025-07-14,Telefone,40
584,448,2025-12-20,WhatsApp,35
585,179,2025-12-06,WhatsApp,17
586,398,2025-10-29,Telefone,96
587,302,2025-07-05,Reunião,92
588,313,2025-07-20,WhatsApp,23
589,316,2025-11-23,Telefone,28
590,413,2025-12-13,Reunião,70
591,144,2025-07-29,Telefone,43
592,361,2025-10-15,Reunião,75
593,137,2025-08-19,Email,19
594,493,2025-09-14,Email,37
595,444,2025-07-14,Telefone,91
596,444,2025-11-25,Telefone,20
597,365,2025-10-07,Telefone,88
598,202,2025-08-25,Telefone,75
599,324,2025-10-21,WhatsApp,50
600,232,2025-12-09,Email,53
601,264,2025-10-18,Reunião,60
602,487,2025-08-26,Reunião,76
603,2,2025-12-05,WhatsApp,83
604,341,2025-07-03,Reunião,10
605,408,2025-08-14,WhatsApp,29
606,496,2025-09-10,Telefone,65
607,138,2025-10-07,Reunião,45
608,281,2025-08-03,Telefone,74
609,437,2025-08-26,Reunião,89
610,391,2025-12-16,Email,14
611,321,2025-09-02,Email,17
612,476,2025-11-18,WhatsApp,60
613,1,2025-09-10,Telefone,90
614,466,2025-11-25,Reunião,22
615,448,2025-10-19,Email,85
616,185,2025-10-25,Email,49
617,341,2025-07-15,Telefone,8
618,203,2025-07-21,Reunião,94
619,359,2025-10-30,WhatsApp,85
620,47,2025-12-04,Email,29
621,245,2025-12-09,Telefone,77
622,116,2025-08-18,WhatsApp,3
623,5,2025-07-03,Reunião,17
624,441,2025-09-11,Telefone,63
625,37,2025-10-31,WhatsApp,13
626,375,2025-12-02,Email,42
627,189,2025-10-13,Telefone,50
628,397,2025-11-24,Telefone,10
629,272,2025-08-06,Email,80
630,333,2025-11-16,WhatsApp,46
631,370,2025-11-04,Telefone,54
632,316,2025-07-06,WhatsApp,29
633,45,2025-12-03,Telefone,17
634,302,2025-09-21,Reunião,56
635,162,2025-11-23,Telefone,37
636,331,2025-12-07,Telefone,72
637,308,2025-07-28,Reunião,90
638,14,2025-07-13,Reunião,28
639,266,2025-07-26,Telefone,52
640,152,2025-07-16,Email,32
641,254,2025-09-21,Email,32
642,256,2025-07-18,Email,69
643,456,2025-12-25,Reunião,42
644,68,2025-09-20,WhatsApp,48
645,280,2025-07-07,Telefone,62
646,489,2025-12-10,Email,77
647,35,2025-12-25,Reunião,29
648,21,2025-12-13,WhatsApp,66
649,147,2025-07-21,WhatsApp,56
650,360,2025-09-17,Email,83
651,275,2025-08-13,Telefone,37
652,43,2025-10-10,Email,67
653,472,2025-11-06,Telefone,70
654,168,2025-09-19,Email,41
655,358,2025-09-08,Telefone,9
656,126,2025-12-06,WhatsApp,16
657,233,2025-07-25,Email,41
658,342,2025-07-13,Telefone,17
659,7,2025-11-23,Email,22
660,255,2025-10-01,Reunião,23
661,191,2025-11-26,Reunião,95
662,454,2025-11-28,Email,44
663,414,2025-09-10,Reunião,69
664,33,2025-10-22,Email,65
665,234,2025-08-20,Reunião,9
666,256,2025-08-05,Telefone,49
667,81,2025-10-24,Email,75
668,346,2025-11-29,Telefone,96
669,261,2025-12-28,Email,3
670,126,2025-12-17,WhatsApp,48
671,197,2025-11-20,Telefone,6
672,284,2025-07-14,WhatsApp,30
673,165,2025-10-26,WhatsApp,94
674,164,2025-10-20,Email,75
675,191,2025-11-28,Email,24
676,115,2025-08-18,Email,53
677,36,2025-08-31,Reunião,41
678,168,2025-12-06,WhatsApp,3
679,189,2025-11-07,Reunião,74
680,402,2025-10-12,Telefone,61
681,189,2025-07-30,WhatsApp,27
682,376,2025-08-11,Telefone,21
683,4,2025-09-15,Email,31
684,278,2025-10-01,Email,44
685,1,2025-07-13,WhatsApp,96
686,373,2025-10-11,Email,28
687,272,2025-10-29,WhatsApp,64
688,493,2025-12-13,Telefone,93
689,144,2025-12-05,Email,31
690,460,2025-08-17,WhatsApp,91
691,459,2025-09-24,WhatsApp,12
692,298,2025-12-04,Telefone,83
693,420,2025-09-19,Email,77
694,291,2025-12-13,WhatsApp,86
695,494,2025-11-25,Telefone,39
696,134,2025-10-09,WhatsApp,91
697,426,2025-10-06,Reunião,59
698,140,2025-10-30,Email,27
699,70,2025-08-01,Email,21
700,55,2025-11-16,WhatsApp,61
701,161,2025-09-15,Email,70
702,184,2025-11-05,WhatsApp,41
703,238,2025-10-22,Email,13
704,81,2025-07-06,Reunião,92
705,357,2025-07-27,Email,29
706,428,2025-10-06,Telefone,13
707,365,2025-10-26,Reunião,52
708,263,2025-12-16,Reunião,35
709,420,2025-11-14,Email,53
710,438,2025-09-04,Telefone,14
711,237,2025-12-02,Telefone,17
712,7,2025-12-13,Telefone,18
713,102,2025-09-17,Reunião,89
714,323,2025-07-16,Email,76
715,301,2025-10-23,Email,4
716,34,2025-11-08,WhatsApp,18
717,48,2025-10-05,Email,7
718,483,2025-09-01,Email,23
719,474,2025-08-04,WhatsApp,94
720,203,2025-08-23,Email,50
721,350,2025-09-10,Telefone,47
722,110,2025-11-11,Reunião,37
723,229,2025-11-20,Email,80
724,318,2025-07-24,Telefone,84
725,152,2025-08-23,WhatsApp,72
726,246,2025-12-13,Email,37
727,197,2025-11-23,WhatsApp,27
728,330,2025-08-16,Telefone,82
729,411,2025-08-11,Email,50
730,401,2025-09-28,WhatsApp,71
731,401,2025-08-26,Reunião,74
732,258,2025-10-07,WhatsApp,36
733,93,2025-12-22,Reunião,78
734,113,2025-12-21,Reunião,9
735,415,2025-08-30,Reunião,76
736,120,2025-11-18,Email,33
737,337,2025-10-28,Reunião,70
738,418,2025-12-14,Telefone,75
739,434,2025-09-20,Reunião,24
740,91,2025-10-29,Reunião,96
741,358,2025-09-28,Email,92
742,359,2025-09-29,Telefone,74
743,486,2025-11-10,WhatsApp,71
744,159,2025-11-14,WhatsApp,6
745,47,2025-12-14,Telefone,79
746,113,2025-12-23,WhatsApp,2
747,170,2025-07-24,Telefone,18
748,175,2025-11-13,Reunião,9
749,12,2025-11-21,Telefone,16
750,434,2025-08-16,Reunião,11
751,192,2025-07-12,WhatsApp,77
752,52,2025-10-03,Reunião,43
753,70,2025-11-18,WhatsApp,83
754,492,2025-08-26,Reunião,24
755,363,2025-08-07,Reunião,30
756,341,2025-07-31,Telefone,50
757,158,2025-07-05,Reunião,18
758,91,2025-12-28,WhatsApp,74
759,17,2025-11-12,Reunião,80
760,114,2025-07-18,Email,65
761,73,2025-10-05,Email,32
762,178,2025-10-08,Telefone,83
763,454,2025-12-06,Reunião,59
764,6,2025-10-22,Telefone,33
765,355,2025-12-11,Reunião,34
766,403,2025-12-01,Email,8
767,198,2025-09-07,WhatsApp,23
768,453,2025-09-14,WhatsApp,50
769,180,2025-08-11,WhatsApp,14
770,425,2025-08-28,Telefone,22
771,232,2025-12-10,Email,39
772,11,2025-10-08,Reunião,15
