cliente_id,nome_cliente,tipo_cliente,data_cadastro
63,Cliente_63,Agência,2025-08-09
64,Cliente_64,Agência,2024-02-26
65,Cliente_65,Agência,2023-09-10
66,Cliente_66,Anunciante,2024-03-29
67,Cliente_67,Agência,2024-10-31
68,Cliente_68,Anunciante,2024-03-29
69,Cliente_69,Anunciante,2024-06-06
70,Cliente_70,Anunciante,2024-05-12
71,Cliente_71,Agência,2024-01-03
72,Cliente_72,Agência,2024-01-01
73,Cliente_73,Anunciante,2023-10-04
74,Cliente_74,Anunciante,2025-08-07
75,Cliente_75,Anunciante,2024-09-10
76,Cliente_76,Agência,2024-08-22
77,Cliente_77,Agência,2023-11-21
78,Cliente_78,Anunciante,2024-07-05
79,Cliente_79,Agência,2024-06-28
80,Cliente_80,Agência,2024-02-28
81,Cliente_81,Anunciante,2023-07-22
82,Cliente_82,Agência,2025-06-26
83,Cliente_83,Anunciante,2023-10-11
84,Cliente_84,Agência,2024-05-26
85,Cliente_85,Agência,2024-03-26
86,Cliente_86,Anunciante,2024-07-17
87,Cliente_87,Agência,2025-08-07
88,Cliente_88,Anunciante,2023-08-01
89,Cliente_89,Anunciante,2025-03-29
90,Cliente_90,Agência,2025-03-28
91,Cliente_91,Agência,2025-09-03
92,Cliente_92,Anunciante,2023-08-17
93,Cliente_93,Agência,2023-10-13
94,Cliente_94,Agência,2025-07-21
95,Cliente_95,Anunciante,2024-05-16
96,Cliente_96,Agência,2025-03-03
97,Cliente_97,Anunciante,2025-04-27
98,Cliente_98,Agência,2023-11-30
99,Cliente_99,Anunciante,2024-10-17
100,Cliente_100,Anunciante,2024-09-07
101,Cliente_101,Anunciante,2025-07-29
102,Cliente_102,Agência,2025-04-13
103,Cliente_103,Agência,2024-12-18
104,Cliente_104,Agência,2024-04-06
105,Cliente_105,Agência,2024-04-06
106,Cliente_106,Agência,2025-11-22
107,Cliente_107,Agência,2023-12-06
108,Cliente_108,Agência,2025-04-09
109,Cliente_109,Agência,2025-10-28
110,Cliente_110,Anunciante,2025-09-18
111,Cliente_111,Agência,2025-02-17
112,Cliente_112,Anunciante,2025-04-24
113,Cliente_113,Agência,2023-11-20
114,Cliente_114,Anunciante,2025-03-26
115,Cliente_115,Anunciante,2023-08-26
116,Cliente_116,Anunciante,2025-05-19
117,Cliente_117,Agência,2025-08-22
118,Cliente_118,Anunciante,2024-12-02
119,Cliente_119,Anunciante,2024-10-05
120,Cliente_120,Anunciante,2023-11-14
121,Cliente_121,Agência,2024-01-10
122,Cliente_122,Agência,2025-09-28
123,Cliente_123,Anunciante,2023-11-15
124,Cliente_124,Anunciante,2023-09-02
125,Cliente_125,Agência,2025-03-20
126,Cliente_126,Agência,2025-05-19
127,Cliente_127,Anunciante,2025-07-09
128,Cliente_128,Anunciante,2025-05-26
129,Cliente_129,Anunciante,2024-08-13
130,Cliente_130,Agência,2025-09-13
131,Cliente_131,Anunciante,2023-08-25
132,Cliente_132,Agência,2025-10-09
133,Cliente_133,Agência,2025-08-26
134,Cliente_134,Agência,2025-06-12
135,Cliente_135,Anunciante,2024-07-20
136,Cliente_136,Anunciante,2025-04-25
137,Cliente_137,Anunciante,2025-09-30
138,Cliente_138,Agência,2024-11-06
139,Cliente_139,Agência,2024-10-26
140,Cliente_140,Anunciante,2023-09-19
141,Cliente_141,Anunciante,2025-02-10
142,Cliente_142,Anunciante,2023-12-17
143,Cliente_143,Anunciante,2025-06-24
144,Cliente_144,Agência,2025-01-30
145,Cliente_145,Agência,2025-10-01
146,Cliente_146,Agência,2023-10-26
147,Cliente_147,Anunciante,2025-10-02
148,Cliente_148,Agência,2024-04-10
149,Cliente_149,Anunciante,2024-07-03
150,Cliente_150,Agência,2025-10-02
151,Cliente_151,Agência,2025-05-23
152,Cliente_152,Agência,2024-03-30
153,Cliente_153,Agência,2024-01-08
154,Cliente_154,Agência,2024-10-12
155,Cliente_155,Agência,2024-04-25
156,Cliente_156,Agência,2024-04-16
157,Cliente_157,Agência,2024-03-05
158,Cliente_158,Agência,2024-09-26
159,Cliente_159,Anunciante,2025-03-07
160,Cliente_160,Agência,2024-01-14
161,Cliente_161,Anunciante,2025-03-30
162,Cliente_162,Anunciante,2024-10-20
163,Cliente_163,Agência,2024-01-12
164,Cliente_164,Anunciante,2024-08-18
165,Cliente_165,Anunciante,2023-10-22
166,Cliente_166,Agência,2025-11-20
167,Cliente_167,Anunciante,2024-03-03
168,Cliente_168,Agência,2025-09-15
169,Cliente_169,Agência,2024-06-29
170,Cliente_170,Anunciante,2025-07-17
171,Cliente_171,Anunciante,2025-09-20
172,Cliente_172,Agência,2024-11-16
173,Cliente_173,Anunciante,2025-06-21
174,Cliente_174,Anunciante,2023-07-30
175,Cliente_175,Anunciante,2024-03-13
176,Cliente_176,Agência,2024-01-16
177,Cliente_177,Anunciante,2024-01-20
178,Cliente_178,Agência,2025-07-15
179,Cliente_179,Anunciante,2025-08-03
180,Cliente_180,Agência,2023-10-31
181,Cliente_181,Agência,2025-02-24
182,Cliente_182,Anunciante,2024-03-20
183,Cliente_183,Agência,2023-11-26
184,Cliente_184,Anunciante,2025-05-05
185,Cliente_185,Anunciante,2024-06-30
186,Cliente_186,Anunciante,2025-03-17
187,Cliente_187,Agência,2025-08-27
188,Cliente_188,Anunciante,2023-08-03
189,Cliente_189,Anunciante,2025-10-15
190,Cliente_190,Agência,2024-12-23
191,Cliente_191,Agência,2024-02-16
192,Cliente_192,Anunciante,2025-06-17
193,Cliente_193,Anunciante,2024-05-14
194,Cliente_194,Anunciante,2024-05-04
195,Cliente_195,Agência,2025-08-07
196,Cliente_196,Agência,2023-12-23
197,Cliente_197,Agência,2024-05-20
198,Cliente_198,Agência,2023-07-29
199,Cliente_199,Anunciante,2024-04-12
200,Cliente_200,Agência,2024-09-15
201,Cliente_201,Agência,2025-10-18
202,Cliente_202,Anunciante,2024-11-21
203,Cliente_203,Agência,2024-11-28
204,Cliente_204,Agência,2024-01-01
205,Cliente_205,Agência,2024-01-17
206,Cliente_206,Agência,2024-12-02
207,Cliente_207,Anunciante,2024-03-04
208,Cliente_208,Agência,2025-04-01
209,Cliente_209,Agência,2023-09-02
210,Cliente_210,Agência,2024-10-03
211,Cliente_211,Agência,2025-05-30
212,Cliente_212,Anunciante,2023-09-20
213,Cliente_213,Anunciante,2023-08-31
214,Cliente_214,Agência,2025-03-01
215,Cliente_215,Agência,2023-09-15
216,Cliente_216,Agência,2024-11-03
217,Cliente_217,Agência,2024-08-05
218,Cliente_218,Agência,2025-05-09
219,Cliente_219,Anunciante,2024-12-06
220,Cliente_220,Anunciante,2023-08-12
221,Cliente_221,Agência,2025-04-15
222,Cliente_222,Agência,2024-01-24
223,Cliente_223,Agência,2024-10-17
224,Cliente_224,Anunciante,2025-02-17
225,Cliente_225,Agência,2023-09-30
226,Cliente_226,Anunciante,2024-12-05
227,Cliente_227,Anunciante,2024-01-04
228,Cliente_228,Anunciante,2025-11-01
229,Cliente_229,Agência,2025-03-07
230,Cliente_230,Agência,2024-04-14
231,Cliente_231,Anunciante,2025-10-21
232,Cliente_232,Agência,2024-03-29
233,Cliente_233,Anunciante,2024-12-11
234,Cliente_234,Anunciante,2024-09-09
235,Cliente_235,Agência,2024-10-31
236,Cliente_236,Agência,2025-03-14
237,Cliente_237,Agência,2023-12-05
238,Cliente_238,Anunciante,2025-11-28
239,Cliente_239,Agência,2024-11-22
240,Cliente_240,Anunciante,2025-09-19
241,Cliente_241,Anunciante,2024-03-01
242,Cliente_242,Anunciante,2024-01-20
243,Cliente_243,Agência,2023-11-23
244,Cliente_244,Anunciante,2024-06-28
245,Cliente_245,Anunciante,2024-01-17
246,Cliente_246,Anunciante,2024-12-30
247,Cliente_247,Anunciante,2023-12-17
248,Cliente_248,Anunciante,2024-05-11
249,Cliente_249,Agência,2025-05-17
250,Cliente_250,Anunciante,2024-01-19
251,Cliente_251,Anunciante,2024-01-06
252,Cliente_252,Agência,2024-03-09
253,Cliente_253,Anunciante,2024-10-10
254,Cliente_254,Agência,2025-01-22
255,Cliente_255,Anunciante,2025-04-28
256,Cliente_256,Anunciante,2023-09-17
257,Cliente_257,Anunciante,2024-08-10
258,Cliente_258,Anunciante,2024-09-03
259,Cliente_259,Agência,2024-06-24
260,Cliente_260,Anunciante,2023-09-09
261,Cliente_261,Agência,2024-01-25
262,Cliente_262,Agência,2025-02-12
263,Cliente_263,Anunciante,2025-08-26
264,Cliente_264,Agência,2024-01-11
265,Cliente_265,Anunciante,2025-04-13
266,Cliente_266,Agência,2025-07-02
267,Cliente_267,Agência,2025-10-13
268,Cliente_268,Agência,2024-07-31
269,Cliente_269,Agência,2024-08-20
270,Cliente_270,Anunciante,2024-02-24
271,Cliente_271,Agência,2023-11-25
272,Cliente_272,Anunciante,2024-07-11
273,Cliente_273,Anunciante,2025-03-25
274,Cliente_274,Agência,2024-01-28
275,Cliente_275,Agência,2023-10-23
276,Cliente_276,Agência,2023-09-24
277,Cliente_277,Anunciante,2025-04-19
278,Cliente_278,Agência,2023-08-29
279,Cliente_279,Anunciante,2025-10-09
280,Cliente_280,Agência,2023-07-15
281,Cliente_281,Agência,2024-08-19
282,Cliente_282,Agência,2023-09-01
283,Cliente_283,Anunciante,2024-01-16
284,Cliente_284,Anunciante,2023-10-18
285,Cliente_285,Anunciante,2024-03-12
286,Cliente_286,Anunciante,2023-08-02
287,Cliente_287,Anunciante,2025-06-20
288,Cliente_288,Anunciante,2024-08-26
289,Cliente_289,Anunciante,2023-10-22
290,Cliente_290,Agência,2023-07-23
291,Cliente_291,Anunciante,2023-10-07
292,Cliente_292,Anunciante,2024-02-27
293,Cliente_293,Agência,2025-02-21
294,Cliente_294,Anunciante,2025-09-11
295,Cliente_295,Anunciante,2025-04-03
296,Cliente_296,Anunciante,2024-12-21
297,Cliente_297,Anunciante,2024-05-25
298,Cliente_298,Agência,2025-07-11
299,Cliente_299,Agência,2025-04-07
300,Cliente_300,Anunciante,2023-12-20
301,Cliente_301,Agência,2023-12-07
302,Cliente_302,Agência,2025-09-25
303,Cliente_303,Anunciante,2024-10-08
304,Cliente_304,Anunciante,2024-05-23
305,Cliente_305,Anunciante,2024-09-30
306,Cliente_306,Agência,2025-05-02
307,Cliente_307,Anunciante,2024-10-27
308,Cliente_308,Agência,2023-10-08
309,Cliente_309,Anunciante,2024-07-29
310,Cliente_310,Agência,2024-12-04
311,Cliente_311,Anunciante,2023-10-20
312,Cliente_312,Anunciante,2023-07-28
313,Cliente_313,Anunciante,2024-05-27
314,Cliente_314,Agência,2024-07-18
315,Cliente_315,Agência,2025-02-23
316,Cliente_316,Anunciante,2024-07-20
317,Cliente_317,Agência,2024-10-27
318,Cliente_318,Anunciante,2024-01-15
319,Cliente_319,Anunciante,2023-11-19
320,Cliente_320,Agência,2023-07-23
321,Cliente_321,Anunciante,2025-07-22
322,Cliente_322,Agência,2024-10-22
323,Cliente_323,Agência,2025-09-05
324,Cliente_324,Anunciante,2025-07-14
325,Cliente_325,Anunciante,2025-05-27
326,Cliente_326,Agência,2025-03-08
327,Cliente_327,Anunciante,2024-12-29
328,Cliente_328,Agência,2024-08-21
329,Cliente_329,Anunciante,2024-12-19
330,Cliente_330,Anunciante,2025-02-18
331,Cliente_331,Anunciante,2025-03-16
332,Cliente_332,Agência,2024-08-05
333,Cliente_333,Agência,2023-10-24
334,Cliente_334,Agência,2024-12-06
335,Cliente_335,Agência,2024-02-03
336,Cliente_336,Agência,2023-09-22
337,Cliente_337,Agência,2023-10-19
338,Cliente_338,Agência,2025-03-21
339,Cliente_339,Agência,2023-07-24
340,Cliente_340,Agência,2024-03-03
341,Cliente_341,Agência,2025-03-30
342,Cliente_342,Agência,2024-08-02
343,Cliente_343,Agência,2024-05-01
344,Cliente_344,Agência,2024-08-10
345,Cliente_345,Anunciante,2023-10-06
346,Cliente_346,Anunciante,2025-06-11
347,Cliente_347,Agência,2023-09-25
348,Cliente_348,Agência,2025-01-15
349,Cliente_349,Agência,2024-04-16
350,Cliente_350,Agência,2025-01-14
351,Cliente_351,Anunciante,2024-10-19
352,Cliente_352,Agência,2025-09-13
353,Cliente_353,Agência,2025-08-17
354,Cliente_354,Anunciante,2023-07-13
355,Cliente_355,Agência,2023-09-06
356,Cliente_356,Agência,2024-12-09
357,Cliente_357,Anunciante,2024-01-22
358,Cliente_358,Anunciante,2025-09-20
359,Cliente_359,Anunciante,2025-11-17
360,Cliente_360,Anunciante,2023-08-10
361,Cliente_361,Anunciante,2025-08-13
362,Cliente_362,Anunciante,2024-11-24
363,Cliente_363,Anunciante,2023-12-06
364,Cliente_364,Agência,2024-09-10
365,Cliente_365,Agência,2023-11-09
366,Cliente_366,Anunciante,2024-03-09
367,Cliente_367,Anunciante,2024-08-10
368,Cliente_368,Anunciante,2023-08-07
369,Cliente_369,Anunciante,2025-01-03
370,Cliente_370,Agência,2023-08-02
371,Cliente_371,Agência,2025-02-17
372,Cliente_372,Anunciante,2025-03-25
373,Cliente_373,Anunciante,2024-04-25
374,Cliente_374,Anunciante,2024-12-20
375,Cliente_375,Agência,2024-07-11
376,Cliente_376,Anunciante,2025-05-27
377,Cliente_377,Anunciante,2025-04-26
378,Cliente_378,Anunciante,2023-09-05
379,Cliente_379,Anunciante,2024-12-16
380,Cliente_380,Anunciante,2024-03-29
381,Cliente_381,Anunciante,2024-05-09
382,Cliente_382,Agência,2024-06-18
383,Cliente_383,Agência,2025-09-03
384,Cliente_384,Agência,2023-11-23
385,Cliente_385,Anunciante,2024-07-17
386,Cliente_386,Agência,2023-12-23
387,Cliente_387,Anunciante,2024-02-07
388,Cliente_388,Anunciante,2024-08-28
389,Cliente_389,Agência,2025-08-26
390,Cliente_390,Anunciante,2025-04-17
391,Cliente_391,Anunciante,2023-12-22
392,Cliente_392,Agência,2025-01-20
393,Cliente_393,Anunciante,2024-08-02
394,Cliente_394,Anunciante,2024-09-20
395,Cliente_395,Anunciante,2024-12-04
396,Cliente_396,Anunciante,2025-02-25
397,Cliente_397,Anunciante,2025-03-17
398,Cliente_398,Agência,2025-07-29
399,Cliente_399,Agência,2025-01-10
400,Cliente_400,Agência,2023-10-31
401,Cliente_401,Agência,2025-05-17
402,Cliente_402,Agência,2023-11-04
403,Cliente_403,Anunciante,2025-02-19
404,Cliente_404,Anunciante,2025-08-19
405,Cliente_405,Agência,2025-01-30
406,Cliente_406,Agência,2024-11-25
407,Cliente_407,Agência,2025-01-24
408,Cliente_408,Agência,2023-12-05
409,Cliente_409,Agência,2025-02-22
410,Cliente_410,Agência,2025-10-05
411,Cliente_411,Anunciante,2023-12-16
412,Cliente_412,Agência,2024-02-15
413,Cliente_413,Anunciante,2025-08-16
414,Cliente_414,Agência,2024-04-21
415,Cliente_415,Anunciante,2024-08-06
416,Cliente_416,Anunciante,2024-09-04
417,Cliente_417,Anunciante,2025-05-25
418,Cliente_418,Agência,2025-03-16
419,Cliente_419,Anunciante,2025-08-05
420,Cliente_420,Agência,2024-10-15
421,Cliente_421,Anunciante,2025-09-15
422,Cliente_422,Agência,2025-06-27
423,Cliente_423,Agência,2023-08-22
424,Cliente_424,Anunciante,2025-09-03
425,Cliente_425,Agência,2025-07-31
426,Cliente_426,Anunciante,2024-03-19
427,Cliente_427,Agência,2023-09-27
428,Cliente_428,Anunciante,2024-08-25
429,Cliente_429,Anunciante,2025-01-29
430,Cliente_430,Anunciante,2025-01-21
431,Cliente_431,Agência,2024-03-15
432,Cliente_432,Agência,2023-10-10
433,Cliente_433,Agência,2024-02-28
434,Cliente_434,Agência,2025-03-04
435,Cliente_435,Agência,2025-06-22
436,Cliente_436,Agência,2025-06-05
437,Cliente_437,Agência,2025-06-22
438,Cliente_438,Agência,2024-10-07
439,Cliente_439,Anunciante,2023-12-25
440,Cliente_440,Anunciante,2025-02-04
441,Cliente_441,Agência,2025-04-06
442,Cliente_442,Anunciante,2023-12-07
443,Cliente_443,Anunciante,2023-12-11
444,Cliente_444,Anunciante,2025-09-18
445,Cliente_445,Agência,2025-03-04
446,Cliente_446,Agência,2024-09-20
447,Cliente_447,Agência,2024-05-21
448,Cliente_448,Agência,2024-02-05
449,Cliente_449,Agência,2025-03-02
450,Cliente_450,Agência,2025-09-17
451,Cliente_451,Agência,2025-06-13
452,Cliente_452,Anunciante,2024-03-30
453,Cliente_453,Anunciante,2024-09-06
454,Cliente_454,Agência,2024-08-07
455,Cliente_455,Anunciante,2023-12-14
456,Cliente_456,Anunciante,2025-02-24
457,Cliente_457,Anunciante,2024-09-07
458,Cliente_458,Agência,2024-03-27
459,Cliente_459,Agência,2024-09-13
460,Cliente_460,Anunciante,2024-03-21
461,Cliente_461,Anunciante,2025-11-03
462,Cliente_462,Agência,2025-04-09
463,Cliente_463,Agência,2023-10-08
464,Cliente_464,Anunciante,2024-04-18
465,Cliente_465,Agência,2023-10-10
466,Cliente_466,Agência,2024-08-05
467,Cliente_467,Anunciante,2025-02-18
468,Cliente_468,Agência,2024-04-09
469,Cliente_469,Anunciante,2024-02-18
470,Cliente_470,Anunciante,2025-08-28
471,Cliente_471,Anunciante,2024-12-08
472,Cliente_472,Anunciante,2024-12-23
473,Cliente_473,Anunciante,2024-01-13
474,Cliente_474,Agência,2025-06-18
475,Cliente_475,Anunciante,2024-10-04
476,Cliente_476,Anunciante,2025-02-07
477,Cliente_477,Anunciante,2023-08-19
478,Cliente_478,Agência,2024-08-21
479,Cliente_479,Agência,2025-01-11
480,Cliente_480,Anunciante,2025-01-02
481,Cliente_481,Agência,2023-09-30
482,Cliente_482,Anunciante,2024-06-21
483,Cliente_483,Agência,2024-01-26
484,Cliente_484,Anunciante,2024-10-02
485,Cliente_485,Agência,2025-05-21
486,Cliente_486,Anunciante,2024-03-02
487,Cliente_487,Anunciante,2024-02-28
488,Cliente_488,Anunciante,2023-10-13
489,Cliente_489,Agência,2025-05-05
490,Cliente_490,Anunciante,2024-05-16
491,Cliente_491,Agência,2025-02-08
492,Cliente_492,Anunciante,2023-12-15
493,Cliente_493,Anunciante,2025-07-28
494,Cliente_494,Agência,2024-02-23
495,Cliente_495,Agência,2023-12-04
496,Cliente_496,Agência,2025-01-15
497,Cliente_497,Agência,2024-05-13
498,Cliente_498,Anunciante,2025-08-26
499,Cliente_499,Agência,2023-07-22
500,Cliente_500,Agência,2024-08-14
